Start_time,Depthsum,Depths
2019.04.26,1691,82
2019.05.07,1561,76
2019.05.08,1321,64
2019.05.13,689,34
2019.05.17,1110,54
2019.05.20,1697,84
2019.05.23,2755,136
2019.05.25,250,12
2019.05.29,1554,76
2019.05.30,1678,83
2019.06.02,2271,112
2019.06.06,2151,100
2019.06.09,1602,76
2019.06.23,822,40
2019.07.13,3122,159
2019.07.15,304,14
2019.07.23,40,2
2019.07.24,3936,190
2019.07.27,2009,100
2019.08.03,2015,89
2019.08.05,1238,58
2019.08.07,1750,88
2019.08.09,592,30
2019.11.07,167548,8331
2019.11.08,1831422,90349
2019.11.09,1713690,84482
2019.11.10,1746772,86183
2019.11.11,4525283,220899
2019.11.12,5285932,260750
2019.11.13,7609938,374769
2019.11.14,5461312,269120
2019.11.15,4100837,201439
2019.11.16,5270117,259877
2019.11.17,2598742,128308
2019.11.18,4967459,245136
2019.11.19,6928412,342358
2019.11.20,4795193,237237
2019.11.21,781890,38705
2019.11.22,5327133,263477
2019.11.23,8538217,419631
2019.11.24,5435992,268009
2019.11.25,4653939,229613
2019.11.26,6389796,314966
2019.11.27,8638344,425931
2019.11.28,12819151,632060
2019.11.29,10837179,534112
2019.11.30,12762908,628896
2019.12.01,11861798,584358
2019.12.02,10369948,505231
2019.12.03,13122371,645076
2019.12.04,8152024,402500
2019.12.05,9540940,470998
2019.12.06,9073394,448054
2019.12.07,3941444,194660
2019.12.08,7903881,390280
2019.12.09,11096694,548255
2019.12.10,6672191,329042
2019.12.11,2587881,127715
2019.12.12,5493363,271775
2019.12.13,4564443,225572
2019.12.14,8929559,441083
2019.12.15,10283489,506470
2019.12.16,7789774,384023
2019.12.17,2587159,127286
2019.12.18,1628526,78180
2019.12.19,3842747,187797
2019.12.20,4635633,223691
2019.12.21,834485,36383
2019.12.22,3221853,156214
2019.12.23,3774657,184357
2019.12.24,1631142,77463
2019.12.25,3675990,178157
2019.12.26,4777837,229713
2019.12.27,3931243,189958
2019.12.28,10882602,526927
2019.12.29,11529346,556417
2019.12.30,9344281,449990
2019.12.31,4628639,221404
2020.01.01,10586409,510086
2020.01.02,9379230,452379
2020.01.03,7736286,373436
2020.01.04,4802703,231342
2020.01.05,2983630,143426
2020.01.06,1716409,82120
2020.01.07,2711152,129918
2020.01.08,1818089,86968
2020.01.09,4894604,231237
2020.01.10,7198858,331854
2020.01.11,5258377,246082
2020.01.12,9733824,454047
2020.01.13,9799327,464409
2020.01.14,2745988,130138
2020.01.15,8035644,379070
2020.01.16,1135716,53984
2020.01.17,4855153,229911
2020.01.18,4313058,203436
2020.01.19,3934228,186150
2020.01.20,6155438,290690
2020.01.21,5079167,239926
2020.01.22,6711831,316444
